"","Name","Age","Nationality","Club","Overall","Potential","Values","Preferred.Foot","Height","Weight","Country"
"2841","Abel Ruiz",18,"Spain","FC Barcelona",67,83,1600000,"Right",183,73,"Spain"
"2842","E. Güral",29,"Turkey","Alanyaspor",67,67,750000,"Left",188,79,"Turkey"
"2843","E. Bakker",28,"Netherlands","De Graafschap",67,67,750000,"Right",178,77,"Netherlands"
"2844","G. Kastaneer",22,"Curacao","NAC Breda",67,76,1200000,"Right",185,85,"Netherlands"
"2845","E. Alvarado",29,"Costa Rica","Trabzonspor",67,67,525000,"Right",193,85,"Turkey"
"2846","Buatu",24,"Angola","Rio Ave FC",67,72,875000,"Right",188,87,"Portugal"
"2847","S. Özkan",31,"Turkey","Antalyaspor",67,67,675000,"Right",173,68,"Turkey"
"2848","M. Akbaş",28,"Turkey","Trabzonspor",67,67,625000,"Left",188,81,"Turkey"
"2849","J. Eggestein",20,"Germany","SV Werder Bremen",67,81,1700000,"Right",183,75,"Germany"
"2850","Sérgio Marakis",26,"Portugal","CD Nacional",67,69,775000,"Right",178,76,"Portugal"
"2851","Xande Silva",21,"Portugal","West Ham United",67,77,1300000,"Right",178,68,"UK"
"2852","F. Serrarens",27,"Netherlands","De Graafschap",67,68,9e+05,"Right",188,83,"Netherlands"
"2853","L. Duarte",27,"Netherlands","Heracles Almelo",67,67,775000,"Left",170,71,"Netherlands"
"2854","J. Steele",27,"England","Brighton & Hove Albion",67,70,650000,"Right",188,79,"UK"
"2855","H. Elhouni",24,"Libya","CD Aves",67,72,1e+06,"Right",175,67,"Portugal"
"2856","O. Mihálik",21,"Czech Republic","AZ Alkmaar",67,75,1100000,"Right",188,71,"Netherlands"
"2857","R. de Boer",20,"Netherlands","AZ Alkmaar",67,78,1e+06,"Right",188,87,"Netherlands"
"2858","N. Julan",21,"France","En Avant de Guingamp",67,78,1300000,"Right",196,83,"France"
"2859","Nadjack",24,"Guinea Bissau","Rio Ave FC",67,72,850000,"Right",183,74,"Portugal"
"2860","K. Begois",36,"Belgium","FC Groningen",67,67,1e+05,"Right",185,79,"Netherlands"
"2861","Jorge Fellipe",29,"Brazil","CD Aves",67,67,6e+05,"Left",196,83,"Portugal"
"2862","M. Rutten",25,"Netherlands","VVV-Venlo",67,70,8e+05,"Right",178,69,"Netherlands"
"2863","Neris",26,"Brazil","Boavista FC",67,72,850000,"Right",190,88,"Portugal"
"2864","A. Coșelev",24,"Moldova","Fortuna Sittard",67,72,725000,"Right",201,90,"Netherlands"
"2865","D. Kolovos",25,"Greece","Willem II",67,71,975000,"Right",183,74,"Netherlands"
"2866","Zhang Yuning",21,"China PR","ADO Den Haag",67,74,1100000,"Right",183,69,"Netherlands"
"2867","Iñigo Muñoz",21,"Spain","Athletic Club de Bilbao",67,79,1400000,"Right",168,60,"Spain"
"2868","P. Papp",28,"Romania","Sivasspor",67,67,625000,"Right",188,80,"Turkey"
"2869","C. Traoré",26,"Mali","FC Nantes",67,68,725000,"Left",180,74,"France"
"2870","S. Ngom",25,"Senegal","FC Nantes",67,71,1e+06,"Right",180,85,"France"
"2871","B. Galloway",22,"England","Everton",67,72,850000,"Left",185,74,"UK"
"2872","Rubén Yáñez",24,"Spain","Getafe CF",67,72,725000,"Right",190,85,"Spain"
"2873","P. Frattali",32,"Italy","Parma",67,67,450000,"Right",185,75,"Italy"
"2874","S. Aytaç",26,"Turkey","Kayserispor",67,68,725000,"Left",188,85,"Turkey"
"2875","J. Opoku",28,"Netherlands","VVV-Venlo",67,67,775000,"Right",185,82,"Netherlands"
"2876","R. Vloet",23,"Netherlands","Frosinone",67,72,1e+06,"Right",188,75,"Italy"
"2877","Ícaro",29,"Brazil","CD Tondela",67,67,6e+05,"Right",180,74,"Portugal"
"2878","L. Guwara",22,"Germany","FC Utrecht",67,77,1100000,"Left",185,83,"Netherlands"
"2879","Sancet",18,"Spain","Athletic Club de Bilbao",67,82,1600000,"Right",188,73,"Spain"
"2880","E. Kılınç",23,"Turkey","Sivasspor",67,72,1e+06,"Left",175,68,"Turkey"
"2881","P. Lienhart",21,"Austria","SC Freiburg",67,77,1100000,"Right",188,80,"Germany"
"2882","K. Hause",22,"England","Wolverhampton Wanderers",67,78,1100000,"Left",190,93,"UK"
"2883","M. Mouandilmadji",20,"Chad","FC Porto",67,78,1300000,"Right",183,78,"Portugal"
"2884","M. Hamdaoui",25,"Netherlands","De Graafschap",67,70,950000,"Right",170,65,"Netherlands"
"2885","M. El Allouchi",23,"Morocco","NAC Breda",67,72,1e+06,"Right",173,72,"Netherlands"
"2886","C. Verdonk",21,"Netherlands","Feyenoord",67,74,9e+05,"Left",175,70,"Netherlands"
"2887","T. Ebuehi",22,"Nigeria","SL Benfica",67,72,850000,"Right",188,72,"Portugal"
"2888","I. Groothuizen",21,"Netherlands","ADO Den Haag",67,75,850000,"Right",190,88,"Netherlands"
"2889","L. Slagveer",24,"Netherlands","FC Emmen",67,70,975000,"Right",178,74,"Netherlands"
"2890","F. Lewis",25,"Netherlands","Willem II",67,70,8e+05,"Right",180,75,"Netherlands"
"2891","M. Svilar",18,"Belgium","SL Benfica",67,84,1300000,"Right",188,81,"Portugal"
"2892","R. Framberger",22,"Germany","FC Augsburg",67,75,950000,"Right",178,73,"Germany"
"2893","João Silva",28,"Portugal","CD Feirense",67,67,8e+05,"Right",188,79,"Portugal"
"2894","G. Itter",19,"Germany","VfL Wolfsburg",67,85,1500000,"Left",185,72,"Germany"
"2895","Bruno Costa",21,"Portugal","FC Porto",67,76,1200000,"Right",175,66,"Portugal"
"2896","B. van Hintum",31,"Netherlands","Heracles Almelo",67,67,5e+05,"Left",178,76,"Netherlands"
"2897","S. Aresti",32,"Italy","Cagliari",67,67,450000,"Right",188,78,"Italy"
"2898","Tiago Gomes",31,"Portugal","CD Feirense",67,67,5e+05,"Left",178,72,"Portugal"
"2899","F. Heerkens",28,"Netherlands","Willem II",67,67,625000,"Right",183,80,"Netherlands"
"2900","K. Karami",28,"Morocco","Vitesse",67,67,6e+05,"Right",180,73,"Netherlands"
"2901","Paolo Fernandes",19,"Spain","NAC Breda",67,78,1300000,"Left",170,61,"Netherlands"
"2902","B. Baningime",19,"DR Congo","Everton",67,81,1500000,"Right",178,70,"UK"
"2903","Tiago Caeiro",34,"Portugal","Os Belenenses",67,67,4e+05,"Right",193,84,"Portugal"
"2904","M. Gibbs-White",18,"England","Wolverhampton Wanderers",67,86,1600000,"Right",178,70,"UK"
"2905","Cleylton",25,"Brazil","Os Belenenses",67,71,825000,"Right",190,90,"Portugal"
"2906","G. Moncini",22,"Italy","SPAL",67,75,1100000,"Right",183,75,"Italy"
"2907","Iban Salvador",22,"Equatorial Guinea","RC Celta",67,75,1100000,"Left",173,72,"Spain"
"2908","M. El Hankouri",21,"Morocco","Feyenoord",67,74,1100000,"Right",175,70,"Netherlands"
"2909","G. Hamer",21,"Netherlands","PEC Zwolle",67,76,1200000,"Right",168,61,"Netherlands"
"2910","P. Kammerbauer",21,"Germany","SC Freiburg",67,77,1100000,"Right",175,74,"Germany"
"2911","Javi Sánchez",21,"Spain","Real Madrid",67,79,1200000,"Right",188,77,"Spain"
"2912","V. Vermeij",23,"Netherlands","Heracles Almelo",67,71,1e+06,"Right",196,91,"Netherlands"
"2913","A. Bannink",28,"Netherlands","FC Emmen",66,66,650000,"Right",185,75,"Netherlands"
"2914","D. de Wit",20,"Netherlands","Ajax",66,75,975000,"Right",183,75,"Netherlands"
"2915","D. Bakker",23,"Netherlands","ADO Den Haag",66,70,7e+05,"Left",178,70,"Netherlands"
"2916","B. Straalman",21,"Netherlands","De Graafschap",66,72,750000,"Right",193,74,"Netherlands"
"2917","C. Kum",32,"Germany","VVV-Venlo",66,66,350000,"Right",183,71,"Netherlands"
"2918","Jadson",26,"Brazil","Portimonense SC",66,68,650000,"Right",185,80,"Portugal"
"2919","Reinildo",24,"Mozambique","Os Belenenses",66,70,7e+05,"Left",180,74,"Portugal"
"2920","Z. Flemming",19,"Netherlands","PEC Zwolle",66,78,1100000,"Right",183,84,"Netherlands"
"2921","D. Dianessy",22,"France","Fortuna Sittard",66,73,9e+05,"Left",183,73,"Netherlands"
"2922","J. Goossens",29,"Netherlands","ADO Den Haag",66,66,625000,"Left",175,77,"Netherlands"
"2923","J. Keita",19,"Guinea","Dijon FCO",66,78,1100000,"Right",168,56,"France"
"2924","S. Kiyine",20,"Morocco","Chievo Verona",66,79,1200000,"Right",183,75,"Italy"
"2925","Pedro Chirivella",21,"Spain","Liverpool",66,75,975000,"Right",178,66,"UK"
"2926","Theo Ryuki",22,"Japan","Portimonense SC",66,73,9e+05,"Right",178,73,"Portugal"
"2927","Miranda",18,"Spain","FC Barcelona",66,81,1200000,"Left",185,76,"Spain"
"2928","G. Vlijter",21,"Suriname","Fortuna Sittard",66,72,9e+05,"Left",178,72,"Netherlands"
"2929","D. Saddiki",21,"Netherlands","Willem II",66,73,775000,"Right",178,77,"Netherlands"
"2930","S. Ingelsson",20,"Sweden","Udinese",66,78,1100000,"Left",188,83,"Italy"
"2931","F. Narsingh",30,"Netherlands","De Graafschap",66,66,6e+05,"Right",175,75,"Netherlands"
"2932","L. Sinisterra",19,"Colombia","Feyenoord",66,79,1200000,"Right",178,70,"Netherlands"
"2933","O. Wijndal",18,"Netherlands","AZ Alkmaar",66,80,1200000,"Left",175,65,"Netherlands"
"2934","D. Jastrzembski",18,"Germany","Hertha BSC",66,84,1300000,"Left",175,77,"Germany"
"2935","F. Farnolle",33,"Benin","Yeni Malatyaspor",66,66,325000,"Right",196,104,"Turkey"
"2936","N. Opoku",20,"Ghana","Udinese",66,80,1300000,"Right",190,78,"Italy"
"2937","P. Micin",19,"Serbia","Udinese",66,83,1400000,"Right",188,71,"Italy"
"2938","J. Helmer",20,"Netherlands","AZ Alkmaar",66,75,1e+06,"Right",180,72,"Netherlands"
"2939","J. Hardeveld",23,"Netherlands","Heracles Almelo",66,70,7e+05,"Left",183,75,"Netherlands"
"2940","J. Kliment",24,"Czech Republic","VfB Stuttgart",66,70,850000,"Right",185,78,"Germany"
"2941","F. El Mellali",21,"Algeria","Angers SCO",66,74,950000,"Right",168,60,"France"
"2942","G. Korte",24,"Netherlands","NAC Breda",66,68,8e+05,"Right",170,71,"Netherlands"
"2943","Rúben Oliveira",23,"Portugal","CD Aves",66,73,9e+05,"Right",170,66,"Portugal"
"2944","L. Reis",18,"Netherlands","FC Groningen",66,79,1100000,"Right",178,75,"Netherlands"
"2945","C. Gomes",17,"France","Manchester City",66,84,1100000,"Right",180,70,"UK"
"2946","M. Nizam",27,"Turkey","Antalyaspor",66,66,525000,"Left",183,74,"Turkey"
"2947","Rui Silva",22,"Portugal","Santa Clara",66,76,9e+05,"Right",178,68,"Portugal"
"2948","T. van de Looi",18,"Netherlands","FC Groningen",66,78,1100000,"Right",180,75,"Netherlands"
"2949","Mica Pinto",25,"Portugal","Fortuna Sittard",66,68,650000,"Left",175,77,"Netherlands"
"2950","Joca",22,"Portugal","Rio Ave FC",66,72,875000,"Right",168,63,"Portugal"
"2951","Dálcio",22,"Portugal","Os Belenenses",66,73,9e+05,"Left",180,67,"Portugal"
"2952","Carlos Blanco",22,"Spain","Villarreal CF",66,74,825000,"Right",188,70,"Spain"
"2953","L. Hutten",28,"Netherlands","Fortuna Sittard",66,66,650000,"Right",180,72,"Netherlands"
"2954","F. Depaoli",21,"Italy","Chievo Verona",66,79,1200000,"Right",178,71,"Italy"
"2955","R. Niemeijer",23,"Netherlands","FC Emmen",66,71,850000,"Right",178,71,"Netherlands"
"2956","L. Badiashile",20,"France","AS Monaco",66,74,725000,"Right",185,80,"France"
"2957","A. Beghetto",23,"Italy","Frosinone",66,72,875000,"Left",178,75,"Italy"
"2958","G. Kobel",20,"Switzerland","TSG 1899 Hoffenheim",66,79,1e+06,"Right",193,90,"Germany"
"2959","R. Seuntjens",29,"Netherlands","VVV-Venlo",66,66,625000,"Right",193,93,"Netherlands"
"2960","E. Palmer-Brown",21,"United States","NAC Breda",66,77,975000,"Right",185,79,"Netherlands"
"2961","D. van Bruggen",22,"Netherlands","VVV-Venlo",66,73,775000,"Right",183,81,"Netherlands"
"2962","Miguelón",22,"Spain","Villarreal CF",66,75,850000,"Right",175,70,"Spain"
"2963","P. Sisniega",22,"Mexico","Real Sociedad",66,73,675000,"Right",193,79,"Spain"
"2964","D. Palacios",18,"Ecuador","Willem II",66,75,775000,"Left",170,67,"Netherlands"
"2965","Ander Guevara",20,"Spain","Real Sociedad",66,76,1e+06,"Right",180,73,"Spain"
"2966","J. Tutuarima",25,"Netherlands","De Graafschap",66,69,675000,"Left",170,67,"Netherlands"
"2967","G. Lloris",22,"France","OGC Nice",66,72,750000,"Left",190,83,"France"
"2968","Iñigo Vicente",20,"Spain","Athletic Club de Bilbao",66,79,1200000,"Right",178,67,"Spain"
"2969","R. Dekker",23,"Netherlands","PEC Zwolle",66,71,850000,"Right",175,65,"Netherlands"
"2970","Cristo González",20,"Spain","Real Madrid",66,78,1200000,"Right",178,74,"Spain"
"2971","Diogo Costa",18,"Portugal","FC Porto",66,82,1100000,"Right",188,81,"Portugal"
"2972","R. Ramírez",22,"Venezuela","Fortuna Sittard",66,71,725000,"Right",180,79,"Netherlands"
"2973","N. Næss",25,"Norway","SC Heerenveen",66,69,675000,"Right",183,82,"Netherlands"
"2974","M. Boadu",17,"Netherlands","AZ Alkmaar",66,85,1300000,"Right",180,65,"Netherlands"
"2975","S. Jakubiak",25,"Germany","Heracles Almelo",66,70,7e+05,"Right",175,67,"Netherlands"
"2976","A. Keita",26,"Guinea","Os Belenenses",66,68,8e+05,"Right",183,79,"Portugal"
"2977","A. Plizzari",18,"Italy","Milan",66,84,1100000,"Right",188,73,"Italy"
"2978","A. Caci",21,"France","RC Strasbourg Alsace",66,76,925000,"Right",183,70,"France"
"2979","M. Edwards",19,"England","Excelsior",66,84,1400000,"Left",175,61,"Netherlands"
"2980","K. Heerings",28,"Netherlands","Fortuna Sittard",66,66,525000,"Left",190,81,"Netherlands"
"2981","H. Sönmez",27,"Turkey","Atiker Konyaspor",66,66,675000,"Right",180,75,"Turkey"
"2982","W. Norris",24,"England","Wolverhampton Wanderers",66,72,650000,"Left",190,81,"UK"
"2983","Zé Manuel",27,"Portugal","Santa Clara",66,66,675000,"Right",178,71,"Portugal"
"2984","H. Alpsoy",21,"Turkey","Antalyaspor",66,77,975000,"Right",185,78,"Turkey"
"2985","L. Bergsma",21,"Netherlands","AZ Alkmaar",66,75,875000,"Right",185,72,"Netherlands"
"2986","M. Ljujić",24,"Serbia","Os Belenenses",66,71,850000,"Left",185,75,"Portugal"
"2987","R. Vodišek",19,"Slovenia","Genoa",66,79,975000,"Right",188,83,"Italy"
"2988","A. Dreyer",20,"Denmark","Brighton & Hove Albion",66,78,1200000,"Left",173,70,"UK"
"2989","Cris",34,"Portugal","CD Feirense",66,66,2e+05,"Right",178,72,"Portugal"
"2990","D. Zeefuik",20,"Netherlands","FC Groningen",66,74,825000,"Right",178,76,"Netherlands"
"2991","W. Kaptoum",21,"Cameroon","Real Betis",66,77,1100000,"Right",170,72,"Spain"
"2992","Gabriel",20,"Brazil","LOSC Lille",66,77,975000,"Left",190,87,"France"
"2993","O. Bouy",25,"Netherlands","PEC Zwolle",66,72,750000,"Left",180,79,"Netherlands"
"2994","E. Aydoğan",21,"Turkey","Bursaspor",66,80,1400000,"Left",183,77,"Turkey"
"2995","Daniel Fuzato",20,"Brazil","Roma",66,76,8e+05,"Right",190,88,"Italy"
"2996","A. Nübel",21,"Germany","FC Schalke 04",66,78,925000,"Right",193,86,"Germany"
"2997","J. Schouten",21,"Netherlands","Excelsior",66,73,9e+05,"Right",185,72,"Netherlands"
"2998","Ricardo Alves",27,"Portugal","CD Tondela",66,69,650000,"Right",183,78,"Portugal"
"2999","J. Vet",24,"Netherlands","De Graafschap",66,69,675000,"Right",190,85,"Netherlands"
"3000","F. Stokkers",22,"Netherlands","Fortuna Sittard",66,71,875000,"Right",185,79,"Netherlands"
"3001","R. Lundqvist",21,"Sweden","PSV",66,75,1e+06,"Right",178,74,"Netherlands"
"3002","S. Muniru",25,"Ghana","Yeni Malatyaspor",66,71,725000,"Right",178,73,"Turkey"
"3003","Diogo Santos",33,"Portugal","Santa Clara",66,66,260000,"Right",190,84,"Portugal"
"3004","T. Borevković",21,"Croatia","Rio Ave FC",66,75,875000,"Right",193,86,"Portugal"
"3005","Filipe Brigues",27,"Portugal","GD Chaves",66,66,525000,"Right",178,72,"Portugal"
"3006","S. Diop",18,"France","AS Monaco",66,87,1500000,"Right",165,55,"France"
"3007","J. Grot",20,"Netherlands","VVV-Venlo",66,75,1e+06,"Right",193,98,"Netherlands"
"3008","Rúben Vinagre",19,"Portugal","Wolverhampton Wanderers",66,82,1200000,"Left",175,64,"UK"
"3009","Lucas",21,"Brazil","SC Braga",66,76,925000,"Right",185,77,"Portugal"
"3010","D. Mahmudov",28,"FYR Macedonia","Excelsior",66,66,650000,"Right",170,62,"Netherlands"
"3011","S. Sy",22,"Senegal","AS Monaco",66,74,7e+05,"Right",193,80,"France"
"3012","J. Drolè",20,"Ivory Coast","Antalyaspor",66,79,1200000,"Right",185,70,"Turkey"
"3013","R. Guitane",19,"France","Stade Rennais FC",66,84,1400000,"Left",165,60,"France"
"3014","E. Ómarsson",23,"Iceland","Excelsior",66,70,850000,"Right",183,73,"Netherlands"
"3015","C. Madu",24,"Nigeria","CD Nacional",66,69,675000,"Right",185,80,"Portugal"
"3016","T. van de Pavert",26,"Netherlands","De Graafschap",66,68,650000,"Left",193,85,"Netherlands"
"3017","G. Bijl",22,"Netherlands","FC Emmen",66,72,750000,"Right",180,76,"Netherlands"
"3018","L. Schwechlen",29,"France","BB Erzurumspor",66,66,5e+05,"Left",183,78,"Turkey"
"3019","Jonatan Lucca",24,"Brazil","Os Belenenses",66,71,725000,"Right",185,76,"Portugal"
"3020","G. Plet",30,"Netherlands","Alanyaspor",66,66,625000,"Right",193,84,"Turkey"
"3021","D. Gorter",30,"Netherlands","ADO Den Haag",66,66,6e+05,"Left",175,70,"Netherlands"
"3022","O. Käuper",21,"Germany","SV Werder Bremen",66,76,1e+06,"Left",188,77,"Germany"
"3023","I. Alhassan",21,"Nigeria","CD Nacional",66,73,775000,"Right",188,72,"Portugal"
"3024","B. Niňaj",24,"Slovakia","Fortuna Sittard",66,71,725000,"Right",190,85,"Netherlands"
"3025","K. Mets",25,"Estonia","NAC Breda",66,69,675000,"Left",190,80,"Netherlands"
"3026","M. Coulibaly",19,"Senegal","Udinese",66,81,1400000,"Right",183,77,"Italy"
"3027","C. Lykogiannis",24,"Greece","Cagliari",66,71,725000,"Left",185,78,"Italy"
"3028","Arturo Molina",22,"Spain","Levante UD",66,74,950000,"Right",183,75,"Spain"
"3029","E. Apeh",21,"Nigeria","RC Celta",66,76,1100000,"Right",180,70,"Spain"
"3030","G. Rolando",23,"Italy","Sampdoria",66,75,1e+06,"Right",183,71,"Italy"
"3031","A. Hadouir",35,"Netherlands","Excelsior",66,66,280000,"Right",173,68,"Netherlands"
"3032","P. Joosten",22,"Netherlands","VVV-Venlo",66,72,9e+05,"Right",180,66,"Netherlands"
"3033","G. Magnani",22,"Italy","Sassuolo",66,76,9e+05,"Left",190,87,"Italy"
"3034","R. van der Meer",23,"Netherlands","Excelsior",66,70,7e+05,"Left",196,86,"Netherlands"
"3035","A. Donnarumma",27,"Italy","Milan",66,67,5e+05,"Right",193,96,"Italy"
"3036","Berrocal",18,"Spain","Sevilla FC",66,80,1200000,"Right",183,72,"Spain"
"3037","José Lara",18,"Spain","Sevilla FC",66,81,1300000,"Left",168,60,"Spain"
"3038","R. Klaasen",24,"Netherlands","De Graafschap",66,70,825000,"Left",178,74,"Netherlands"
"3039","P. Pervan",30,"Austria","VfL Wolfsburg",66,66,425000,"Right",193,92,"Germany"
"3040","E. Ebanks-Landell",25,"England","Wolverhampton Wanderers",66,69,675000,"Right",188,88,"UK"
"3041","T. Hübers",21,"Germany","Hannover 96",66,75,875000,"Right",190,82,"Germany"
"3042","S. Stevens",26,"Netherlands","Excelsior",66,70,575000,"Right",193,93,"Netherlands"
"3043","H. Koffi",21,"Burkina Faso","LOSC Lille",66,77,875000,"Right",185,81,"France"
"3044","D. Burnić",20,"Germany","Borussia Dortmund",66,78,1e+06,"Left",180,70,"Germany"
"3045","N. Zaniolo",18,"Italy","Roma",66,84,1300000,"Left",190,79,"Italy"
"3046","D. Lachman",28,"Curacao","PEC Zwolle",66,66,525000,"Right",188,75,"Netherlands"
"3047","Michel Douglas",26,"Brazil","CD Aves",66,68,8e+05,"Left",185,83,"Portugal"
"3048","L. Woudenberg",24,"Netherlands","SC Heerenveen",66,70,7e+05,"Left",185,70,"Netherlands"
"3049","J. Smeets",23,"Netherlands","Fortuna Sittard",66,72,875000,"Right",183,71,"Netherlands"
"3050","Pastrana",21,"Spain","RC Celta",65,75,875000,"Left",180,70,"Spain"
"3051","K. Dabila",21,"Ivory Coast","LOSC Lille",65,75,775000,"Right",183,80,"France"
"3052","A. Dobos",18,"Hungary","Fortuna Sittard",65,79,1100000,"Left",175,70,"Netherlands"
"3053","M. Savastano",21,"Netherlands","AZ Alkmaar",65,72,650000,"Left",175,69,"Netherlands"
"3054","M. Bakker",18,"Netherlands","Ajax",65,79,1e+06,"Left",183,72,"Netherlands"
"3055","H. Gong",19,"Nigeria","Vitesse",65,77,950000,"Right",170,72,"Netherlands"
"3056","P. Jaroszyński",23,"Poland","Chievo Verona",65,70,6e+05,"Left",183,77,"Italy"
"3057","O. Berber",26,"Turkey","Kayserispor",65,68,550000,"Left",175,67,"Turkey"
"3058","M. Ospitalieri",26,"Belgium","Fortuna Sittard",65,67,525000,"Left",180,71,"Netherlands"
"3059","S. Pontisso",21,"Italy","Udinese",65,77,950000,"Right",183,75,"Italy"
"3060","N. Lang",19,"Netherlands","Ajax",65,77,950000,"Right",178,69,"Netherlands"
"3061","E. Ataseven",25,"Turkey","Akhisar Belediyespor",65,70,6e+05,"Right",180,70,"Turkey"
"3062","L. Görtler",24,"Germany","FC Utrecht",65,71,750000,"Right",185,82,"Netherlands"
"3063","L. Pellegrini",19,"Italy","Roma",65,79,1e+06,"Left",178,72,"Italy"
"3064","A. Kruiswijk",33,"Netherlands","Vitesse",65,65,210000,"Left",188,77,"Netherlands"
"3065","T. Chong",18,"Netherlands","Manchester United",65,85,1100000,"Left",183,70,"UK"
"3066","E. Hooi",26,"Curacao","ADO Den Haag",65,65,575000,"Right",170,61,"Netherlands"
"3067","A. Stolz",34,"Germany","TSG 1899 Hoffenheim",65,65,220000,"Right",188,89,"Germany"
"3068","Guridi",23,"Spain","Real Sociedad",65,73,775000,"Left",178,64,"Spain"
"3069","J. Ekkelenkamp",18,"Netherlands","Ajax",65,78,950000,"Right",183,75,"Netherlands"
"3070","K. Harris",25,"England","Cardiff City",65,68,675000,"Right",175,68,"UK"
"3071","B. Passi",20,"France","Montpellier HSC",65,76,825000,"Right",188,78,"France"
"3072","Matheus Jesus",21,"Brazil","Portimonense SC",65,76,825000,"Left",188,80,"Portugal"
"3073","L. Amos",21,"England","Tottenham Hotspur",65,79,1200000,"Left",178,72,"UK"
"3074","F. Feuillassier",20,"Argentina","Real Madrid",65,80,1200000,"Right",173,69,"Spain"
"3075","I. Šehić",29,"Bosnia Herzegovina","BB Erzurumspor",65,66,425000,"Right",190,79,"Turkey"
"3076","M. Abena",23,"Suriname","De Graafschap",65,69,575000,"Right",190,79,"Netherlands"
"3077","L. Burnet",27,"Netherlands","Excelsior",65,65,450000,"Left",170,65,"Netherlands"
"3078","T. Dekker",20,"Netherlands","VVV-Venlo",65,72,650000,"Right",183,78,"Netherlands"
"3079","J. Arias",23,"Curacao","FC Emmen",65,70,725000,"Right",190,80,"Netherlands"
"3080","M. Langer",33,"Austria","FC Schalke 04",65,65,270000,"Right",196,93,"Germany"
"3081","Patrick",24,"Cape Verde","CD Tondela",65,69,725000,"Right",190,73,"Portugal"
"3082","I. Azzaoui",20,"Belgium","VfL Wolfsburg",65,77,975000,"Right",178,72,"Germany"
"3083","Fidalgo",21,"Spain","Real Madrid",65,75,875000,"Right",175,68,"Spain"
"3084","Vítor Tormena",22,"Brazil","Portimonense SC",65,71,625000,"Right",193,84,"Portugal"
"3085","B. Samba",24,"France","Stade Malherbe Caen",65,69,5e+05,"Left",185,79,"France"
"3086","C. Alkılıç",30,"Turkey","Alanyaspor",65,65,4e+05,"Right",178,62,"Turkey"
"3087","Luís Maximiano",19,"Portugal","Sporting CP",65,80,950000,"Right",190,82,"Portugal"
"3088","A. Hadžiahmetović",21,"Bosnia Herzegovina","Atiker Konyaspor",65,78,1e+06,"Right",178,70,"Turkey"
"3089","N. Mbemba",23,"France","Stade de Reims",65,70,625000,"Right",183,77,"France"
"3090","Kaká",27,"Brazil","CD Nacional",65,65,575000,"Right",175,67,"Portugal"
"3091","N. Bakker",25,"Netherlands","FC Emmen",65,68,575000,"Left",188,81,"Netherlands"
"3092","Raphael Silva",26,"Brazil","Boavista FC",65,69,575000,"Right",190,83,"Portugal"
"3093","Mauro Cerqueira",25,"Portugal","CD Nacional",65,67,550000,"Left",178,79,"Portugal"
"3094","Damià",22,"Spain","RCD Espanyol",65,71,625000,"Right",178,74,"Spain"
"3095","G. Poussin",19,"France","FC Girondins de Bordeaux",65,79,950000,"Right",183,82,"France"
"3096","Bruno Gomes",21,"Brazil","CD Aves",65,75,875000,"Right",183,75,"Portugal"
"3097","C. Elder",23,"Australia","Leicester City",65,72,650000,"Left",180,67,"UK"
"3098","N. Garmendia",20,"Spain","Udinese",65,76,925000,"Right",175,70,"Italy"
"3099","L. Owusu",21,"Netherlands","De Graafschap",65,73,675000,"Right",175,68,"Netherlands"
"3100","J. Untersee",24,"Switzerland","Empoli",65,71,750000,"Right",180,79,"Italy"
"3101","G. Zelalem",21,"United States","Arsenal",65,75,875000,"Right",180,70,"UK"
"3102","Ronan",23,"Brazil","Rio Ave FC",65,71,750000,"Right",196,89,"Portugal"
"3103","Pedro Silva",21,"Portugal","CD Tondela",65,77,775000,"Right",188,76,"Portugal"
"3104","A. Walongwa",24,"Congo","FC Nantes",65,67,550000,"Right",183,81,"France"
"3105","E. Hamilton",19,"Scotland","Manchester United",65,78,1e+06,"Left",185,75,"UK"
"3106","C. Gribbin",19,"England","Manchester United",65,80,1200000,"Left",183,72,"UK"
"3107","João Reis",26,"Portugal","CD Tondela",65,68,550000,"Left",175,66,"Portugal"
"3108","G. Nijholt",28,"Netherlands","NAC Breda",65,65,450000,"Left",183,79,"Netherlands"
"3109","S. Floranus",19,"Netherlands","SC Heerenveen",65,74,7e+05,"Right",180,74,"Netherlands"
"3110","M. Sylla",18,"France","AS Monaco",65,84,1100000,"Right",180,70,"France"
"3111","W. Marinus",23,"Netherlands","FC Emmen",65,70,725000,"Right",178,73,"Netherlands"
"3112","I. Koneh",23,"Cameroon","Boavista FC",65,70,725000,"Right",183,68,"Portugal"
"3113","A. Çeviker",28,"Turkey","Akhisar Belediyespor",65,66,5e+05,"Right",178,70,"Turkey"
"3114","Chumi",19,"Spain","FC Barcelona",65,82,1e+06,"Right",185,78,"Spain"
"3115","D. Schmidt",26,"Netherlands","SC Heerenveen",65,66,525000,"Right",178,73,"Netherlands"
"3116","S. Chukwueze",19,"Nigeria","Villarreal CF",65,81,1200000,"Left",173,70,"Spain"
"3117","N. Venema",19,"Netherlands","FC Utrecht",65,77,950000,"Right",180,71,"Netherlands"
"3118","L. Nieuwpoort",23,"Netherlands","De Graafschap",65,69,6e+05,"Left",188,70,"Netherlands"
"3119","A. Verschueren",21,"Belgium","NAC Breda",65,69,6e+05,"Right",185,73,"Netherlands"
